filename,ATTRIBUTE_Filament_Possition,ATTRIBUTE_Depth,ATTRIBUTE_Depth_Range,ATTRIBUTE_Location
CCE_P1706_100.mzxml,Cycle_2,100,70-150,Cycle_2_day3
CCE_P1706_102.mzxml,Cycle_2,70,70-150,Cycle_2_day3
CCE_P1706_104.mzxml,Cycle_2,38,40-60,Cycle_2_day3
CCE_P1706_106.mzxml,Cycle_2,24,0-30,Cycle_2_day3
CCE_P1706_108.mzxml,Cycle_2,15,0-30,Cycle_2_day3
CCE_P1706_110.mzxml,Cycle_2,0,0-30,Cycle_2_day3
CCE_P1706_112.mzxml,Cycle_2,100,70-150,Cycle_2_day4
CCE_P1706_114.mzxml,Cycle_2,70,70-150,Cycle_2_day4
CCE_P1706_116.mzxml,Cycle_2,44,40-60,Cycle_2_day4
CCE_P1706_118.mzxml,Cycle_2,22,0-30,Cycle_2_day4
CCE_P1706_120.mzxml,Cycle_2,15,0-30,Cycle_2_day4
CCE_P1706_122.mzxml,Cycle_2,5,0-30,Cycle_2_day4
CCE_P1706_154.mzxml,Cycle_3,151,70-150,Cycle_3_day1
CCE_P1706_156.mzxml,Cycle_3,100,70-150,Cycle_3_day1
CCE_P1706_158.mzxml,Cycle_3,51,40-60,Cycle_3_day1
CCE_P1706_160.mzxml,Cycle_3,21,0-30,Cycle_3_day1
CCE_P1706_162.mzxml,Cycle_3,11,0-30,Cycle_3_day1
CCE_P1706_164.mzxml,Cycle_3,2,0-30,Cycle_3_day1
CCE_P1706_166.mzxml,Cycle_3,150,70-150,Cycle_3_day2
CCE_P1706_168.mzxml,Cycle_3,100,70-150,Cycle_3_day2
CCE_P1706_170.mzxml,Cycle_3,60,40-60,Cycle_3_day2
CCE_P1706_172.mzxml,Cycle_3,20,0-30,Cycle_3_day2
CCE_P1706_174.mzxml,Cycle_3,10,0-30,Cycle_3_day2
CCE_P1706_176.mzxml,Cycle_3,2,0-30,Cycle_3_day2
CCE_P1706_178.mzxml,Cycle_3,152,70-150,Cycle_3_day3
CCE_P1706_180.mzxml,Cycle_3,100,70-150,Cycle_3_day3
CCE_P1706_182.mzxml,Cycle_3,60,40-60,Cycle_3_day3
CCE_P1706_184.mzxml,Cycle_3,21,0-30,Cycle_3_day3
CCE_P1706_186.mzxml,Cycle_3,11,0-30,Cycle_3_day3
CCE_P1706_188.mzxml,Cycle_3,2,0-30,Cycle_3_day3
CCE_P1706_208.mzxml,Cycle_4,90,70-150,Cycle_4_day1
CCE_P1706_210.mzxml,Cycle_4,70,70-150,Cycle_4_day1
CCE_P1706_212.mzxml,Cycle_4,50,40-60,Cycle_4_day1
CCE_P1706_214.mzxml,Cycle_4,30,0-30,Cycle_4_day1
CCE_P1706_216.mzxml,Cycle_4,20,0-30,Cycle_4_day1
CCE_P1706_218.mzxml,Cycle_4,0,0-30,Cycle_4_day1
CCE_P1706_220.mzxml,Cycle_4,90,70-150,Cycle_4_day2
CCE_P1706_222.mzxml,Cycle_4,70,70-150,Cycle_4_day2
CCE_P1706_224.mzxml,Cycle_4,50,40-60,Cycle_4_day2
CCE_P1706_228.mzxml,Cycle_4,20,0-30,Cycle_4_day2
CCE_P1706_230.mzxml,Cycle_4,0,0-30,Cycle_4_day2
CCE_P1706_40.mzxml,Cycle_1,100,70-150,Cycle_1_day1
CCE_P1706_42.mzxml,Cycle_1,75,70-150,Cycle_1_day1
CCE_P1706_44.mzxml,Cycle_1,50,40-60,Cycle_1_day1
CCE_P1706_46.mzxml,Cycle_1,30,0-30,Cycle_1_day1
CCE_P1706_48.mzxml,Cycle_1,8,0-30,Cycle_1_day1
CCE_P1706_50.mzxml,Cycle_1,0,0-30,Cycle_1_day1
CCE_P1706_52.mzxml,Cycle_1,100,70-150,Cycle_1_day2
CCE_P1706_54.mzxml,Cycle_1,70,70-150,Cycle_1_day2
CCE_P1706_56.mzxml,Cycle_1,45,40-60,Cycle_1_day2
CCE_P1706_58.mzxml,Cycle_1,25,0-30,Cycle_1_day2
CCE_P1706_60.mzxml,Cycle_1,10,0-30,Cycle_1_day2
CCE_P1706_62.mzxml,Cycle_1,0,0-30,Cycle_1_day2
CCE_P1706_64.mzxml,Cycle_1,100,70-150,Cycle_1_day3
CCE_P1706_66.mzxml,Cycle_1,70,70-150,Cycle_1_day3
CCE_P1706_68.mzxml,Cycle_1,40,40-60,Cycle_1_day3
CCE_P1706_70.mzxml,Cycle_1,20,0-30,Cycle_1_day3
CCE_P1706_72.mzxml,Cycle_1,10,0-30,Cycle_1_day3
CCE_P1706_74.mzxml,Cycle_1,0,0-30,Cycle_1_day3
CCE_P1706_76.mzxml,Cycle_2,100,70-150,Cycle_2_day1
CCE_P1706_78.mzxml,Cycle_2,70,70-150,Cycle_2_day1
CCE_P1706_80.mzxml,Cycle_2,38,40-60,Cycle_2_day1
CCE_P1706_82.mzxml,Cycle_2,18,0-30,Cycle_2_day1
CCE_P1706_84.mzxml,Cycle_2,12,0-30,Cycle_2_day1
CCE_P1706_86.mzxml,Cycle_2,0,0-30,Cycle_2_day1
CCE_P1706_88.mzxml,Cycle_2,100,70-150,Cycle_2_day2
CCE_P1706_90.mzxml,Cycle_2,70,70-150,Cycle_2_day2
CCE_P1706_92.mzxml,Cycle_2,38,40-60,Cycle_2_day2
CCE_P1706_94.mzxml,Cycle_2,20,0-30,Cycle_2_day2
CCE_P1706_96.mzxml,Cycle_2,12,0-30,Cycle_2_day2
CCE_P1706_98.mzxml,Cycle_2,0,0-30,Cycle_2_day2
