filename,ATTRIBUTE_x,ATTRIBUTE_y,ATTRIBUTE_z,ATTRIBUTE_Spot_size,ATTRIBUTE_Filament_Possition,ATTRIBUTE_Sample_Number,ATTRIBUTE_Date,ATTRIBUTE_Cast,ATTRIBUTE_Event_Number,ATTRIBUTE_Bottle,ATTRIBUTE_Depth,ATTRIBUTE_Depth_Range,ATTRIBUTE_Location,ATTRIBUTE_Sampling_Type,ATTRIBUTE_Sample_Type,ATTRIBUTE_Chlorophyll_a__ug_l_,ATTRIBUTE_Chlorophyll_binned,ATTRIBUTE_Phaeopigment__ug_l_,ATTRIBUTE_Temperature__C_,ATTRIBUTE_Temperature_binned,ATTRIBUTE_Fluorescence__V_,ATTRIBUTE_Transmission__per_,ATTRIBUTE_O2_Saturation__per_,ATTRIBUTE_O2_saturation_binned,ATTRIBUTE_PO4,ATTRIBUTE_NO2,ATTRIBUTE_NO3,ATTRIBUTE_NH4,ATTRIBUTE_PO4_binned,ATTRIBUTE_NO2_binned,ATTRIBUTE_NO3_binned,ATTRIBUTE_NH4_binned
CCE_P1706_3.mzxml,-80.1,85.1,101.5,1,Control,3,20170602,2,NA,2,570,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.582025,7,,96.46921017,NA,NA,3.631,1.851,12.69,0.498,3.6,1.9,13,0.5
CCE_P1706_4.mzxml,-80.1,85.1,101.5,1,Control,4,20170602,2,NA,2,570,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.582025,7,,96.46921017,NA,NA,3.631,1.851,12.69,0.498,3.6,1.9,13,0.5
CCE_P1706_5.mzxml,-80.1,85.1,102.5,1,Control,5,20170602,2,NA,4,540,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.5979,7,,96.28352118,NA,NA,3.36,0.344,19.899,0.022,3.4,0.3,20,0
CCE_P1706_6.mzxml,-80.1,85.1,102.5,1,Control,6,20170602,2,NA,4,540,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.5979,7,,96.28352118,NA,NA,3.36,0.344,19.899,0.022,3.4,0.3,20,0
CCE_P1706_7.mzxml,-80.1,85.1,103.5,1,Control,7,20170602,2,NA,6,515,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.6584,7,,97.84244505,NA,NA,3.233,0.023,27.25,0,3.2,0,27,0
CCE_P1706_8.mzxml,-80.1,85.1,103.5,1,Control,8,20170602,2,NA,6,515,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.6584,7,,97.84244505,NA,NA,3.233,0.023,27.25,0,3.2,0,27,0
CCE_P1706_9.mzxml,-108.242,93.1429,109.445,1,Outside,9,20170607,4,130,4,100,70-150,Transcet_1,Transcet_1,Transect,0.041379775,0_0.1,0.257211667,9.4566,9,0.06239975,98.59275813,30.01690168,30_40,2.122,0.305,26.227,0.01,2.1,0.3,26,0
CCE_P1706_10.mzxml,-108.242,93.1429,110.445,1,Outside,10,20170607,4,130,8,50,40-60,Transcet_1,Transcet_1,Transect,0.180148314,0.1_0.2,0.177064894,11.03465,11,0.2868475,98.32124196,53.39630322,50_60,1.513,0.362,18.021,1.2,1.5,0.4,18,1.2
CCE_P1706_11.mzxml,-108.242,93.1429,111.444,1,Outside,11,20170607,4,130,12,30,0-30,Transcet_1,Transcet_1,Transect,0.311811235,0.2_0.5,0.227171622,11.517975,12,0.71229,97.56283197,61.99783198,60_70,1.342,0.348,15.911,0.502,1.3,0.3,16,0.5
CCE_P1706_12.mzxml,-108.242,93.1429,111.884,1,Outside,12,20170607,4,130,14,20,0-30,Transcet_1,Transcet_1,Transect,0.469388763,0.2_0.5,0.290163761,12.804775,13,1.2442225,95.75074492,73.31116074,70_80,1.209,0.583,14.186,0.249,1.2,0.6,14,0.2
CCE_P1706_13.mzxml,-108.242,93.1429,112.344,1,Outside,13,20170607,4,130,16,10,0-30,Transcet_1,Transcet_1,Transect,1.007325841,1_1.5,0.390318282,13.2746,13,1.495125,93.88197953,77.52075358,70_80,0.92,0.432,9.718,0.467,0.9,0.4,10,0.5
CCE_P1706_14.mzxml,-108.242,93.1429,112.786,1,Outside,14,20170607,4,130,18,0,0-30,Transcet_1,Transcet_1,Transect,1.015685391,1_1.5,0.373523945,13.4138,13,1.6021,92.20753984,77.98196374,70_80,0.79,0.247,8.097,0.279,0.8,0.2,8,0.3
CCE_P1706_15.mzxml,-109.543,96.1582,109.445,1,Middle,15,20170607,6,NA,4,100,70-150,Transcet_1,Transcet_1,Transect,0.020898876,0_0.1,0.159183815,8.970125,9,0.05575825,98.61812843,30.69603214,30_40,2.021,0.057,26.719,0.028,2,0.1,27,0
