filename,ATTRIBUTE_x,ATTRIBUTE_y,ATTRIBUTE_z,ATTRIBUTE_Spot_size,ATTRIBUTE_Filament_Possition,ATTRIBUTE_Sample_Number,ATTRIBUTE_Date,ATTRIBUTE_Cast,ATTRIBUTE_Event_Number,ATTRIBUTE_Bottle,ATTRIBUTE_Depth,ATTRIBUTE_Depth_Range,ATTRIBUTE_Location,ATTRIBUTE_Sampling_Type,ATTRIBUTE_Sample_Type,ATTRIBUTE_Chlorophyll_a__ug_l_,ATTRIBUTE_Chlorophyll_binned,ATTRIBUTE_Phaeopigment__ug_l_,ATTRIBUTE_Temperature__C_,ATTRIBUTE_Temperature_binned,ATTRIBUTE_Fluorescence__V_,ATTRIBUTE_Transmission__per_,ATTRIBUTE_O2_Saturation__per_,ATTRIBUTE_O2_saturation_binned,ATTRIBUTE_PO4,ATTRIBUTE_NO2,ATTRIBUTE_NO3,ATTRIBUTE_NH4,ATTRIBUTE_PO4_binned,ATTRIBUTE_NO2_binned,ATTRIBUTE_NO3_binned,ATTRIBUTE_NH4_binned
CCE_P1706_3.mzxml,-80.1,85.1,101.5,1,Control,3,20170602,2,NA,2,570,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.582025,7,,96.46921017,NA,NA,3.631,1.851,12.69,0.498,3.6,1.9,13,0.5
CCE_P1706_4.mzxml,-80.1,85.1,101.5,1,Control,4,20170602,2,NA,2,570,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.582025,7,,96.46921017,NA,NA,3.631,1.851,12.69,0.498,3.6,1.9,13,0.5
CCE_P1706_5.mzxml,-80.1,85.1,102.5,1,Control,5,20170602,2,NA,4,540,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.5979,7,,96.28352118,NA,NA,3.36,0.344,19.899,0.022,3.4,0.3,20,0
CCE_P1706_6.mzxml,-80.1,85.1,102.5,1,Control,6,20170602,2,NA,4,540,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.5979,7,,96.28352118,NA,NA,3.36,0.344,19.899,0.022,3.4,0.3,20,0
CCE_P1706_7.mzxml,-80.1,85.1,103.5,1,Control,7,20170602,2,NA,6,515,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.6584,7,,97.84244505,NA,NA,3.233,0.023,27.25,0,3.2,0,27,0
CCE_P1706_8.mzxml,-80.1,85.1,103.5,1,Control,8,20170602,2,NA,6,515,500+,Santa_Barbara_Basin,Deep_Control,Control,NA,NA,NA,6.6584,7,,97.84244505,NA,NA,3.233,0.023,27.25,0,3.2,0,27,0
CCE_P1706_39.mzxml,-101.419,101.956,109.445,1,Cycle_1,39,20170609,16,216,6,100,70-150,Cycle_1_day1,Cycle_1,Cycle,NA,NA,NA,NA,NA,0.05942025,98.69963726,30.00943644,30_40,1.914,0.151,25.284,0.064,1.9,0.2,25,0.1
CCE_P1706_40.mzxml,-101.419,101.956,109.445,1,Cycle_1,40,20170609,16,216,6,100,70-150,Cycle_1_day1,Cycle_1,Cycle,NA,NA,NA,NA,NA,0.05942025,98.69963726,30.00943644,30_40,1.914,0.151,25.284,0.064,1.9,0.2,25,0.1
CCE_P1706_41.mzxml,-101.419,101.956,110.445,1,Cycle_1,41,20170609,16,216,8,75,70-150,Cycle_1_day1,Cycle_1,Cycle,0.094462921,0_0.1,0.450846026,NA,NA,0.0764655,98.35740813,32.83262764,30_40,1.933,0.492,23.893,0.456,1.9,0.5,24,0.5
CCE_P1706_42.mzxml,-101.419,101.956,110.445,1,Cycle_1,42,20170609,16,216,8,75,70-150,Cycle_1_day1,Cycle_1,Cycle,0.094462921,0_0.1,0.450846026,NA,NA,0.0764655,98.35740813,32.83262764,30_40,1.933,0.492,23.893,0.456,1.9,0.5,24,0.5
CCE_P1706_43.mzxml,-101.419,101.956,111.444,1,Cycle_1,43,20170609,16,216,10,50,40-60,Cycle_1_day1,Cycle_1,Cycle,0.480674156,0.2_0.5,0.697665518,NA,NA,0.22874,97.31776569,36.24112782,30_40,1.783,0.576,20.292,1.618,1.8,0.6,20,1.6
CCE_P1706_44.mzxml,-101.419,101.956,111.444,1,Cycle_1,44,20170609,16,216,10,50,40-60,Cycle_1_day1,Cycle_1,Cycle,0.480674156,0.2_0.5,0.697665518,NA,NA,0.22874,97.31776569,36.24112782,30_40,1.783,0.576,20.292,1.618,1.8,0.6,20,1.6
CCE_P1706_45.mzxml,-101.419,101.956,111.884,1,Cycle_1,45,20170609,16,216,14,30,0-30,Cycle_1_day1,Cycle_1,Cycle,0.798337077,0.5_1,0.805959315,NA,NA,0.75281,95.59690374,53.69023065,50_60,1.509,0.434,16.134,2.105,1.5,0.4,16,2.1
